Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Temp_Delta,Type,true_failure,predicted_failure,recommended_disposition
298.0,307.7,1387,50.8,204,9.699999999999989,L,NONE,NONE,Manual review
300.8,309.7,1258,54.9,168,8.899999999999977,M,NONE,NONE,Manual review
297.2,308.3,1379,52.1,21,11.100000000000023,L,NONE,NONE,Manual review
298.3,309.2,1486,42.4,16,10.899999999999977,H,NONE,NONE,Manual review
297.7,309.3,1559,36.9,145,11.600000000000023,L,NONE,NONE,Manual review
297.9,308.1,1627,31.4,209,10.200000000000045,M,NONE,NONE,Manual review
298.2,307.8,1411,53.4,110,9.600000000000023,M,NONE,NONE,Manual review
297.3,308.5,1524,49.3,176,11.199999999999989,M,NONE,NONE,Manual review
302.3,311.4,1571,32.7,17,9.099999999999966,M,NONE,NONE,Manual review
298.1,308.0,1626,36.5,83,9.899999999999977,L,NONE,NONE,Manual review
298.9,308.2,1335,47.8,40,9.300000000000011,M,NONE,NONE,Manual review
300.9,310.5,1444,43.2,27,9.600000000000023,M,NONE,NONE,Manual review
295.6,306.2,1443,48.9,33,10.599999999999966,L,NONE,NONE,Manual review
299.6,311.0,1554,36.3,62,11.399999999999977,L,NONE,NONE,Manual review
300.0,311.4,1484,37.0,183,11.399999999999977,L,NONE,NONE,Manual review
303.7,312.8,1366,47.3,49,9.100000000000023,M,NONE,NONE,Manual review
302.4,311.1,1484,45.9,169,8.700000000000045,L,NONE,NONE,Manual review
299.4,310.8,1424,47.7,109,11.400000000000034,L,NONE,NONE,Manual review
302.0,311.3,1530,36.4,27,9.300000000000011,M,NONE,NONE,Manual review
301.4,310.6,1557,38.2,157,9.200000000000045,L,NONE,NONE,Manual review
298.2,309.1,1457,49.0,77,10.900000000000034,M,NONE,NONE,Manual review
300.5,311.9,1730,27.5,209,11.399999999999977,M,NONE,NONE,Manual review
302.3,311.6,1398,49.1,119,9.300000000000011,L,NONE,NONE,Manual review
300.9,311.2,1472,40.0,93,10.300000000000011,M,NONE,NONE,Manual review
301.0,310.6,1366,50.6,106,9.600000000000023,H,NONE,NONE,Manual review
300.5,311.6,1476,39.1,199,11.100000000000023,M,NONE,NONE,Manual review
302.3,311.8,1559,34.4,191,9.5,M,NONE,NONE,Manual review
302.4,311.8,1433,42.2,134,9.400000000000034,L,NONE,NONE,Manual review
